otel_ad,Bölge,Hava Alanına Uzaklığı,Denize Uzaklığı,Plaj,İskele,A la Carte Restoran,Açık Restoran,Kapalı Restoran,Açık Havuz,Kapalı Havuz,Asansör,Bedensel Engelli Odası,Market,Su Kaydırağı,Sauna,Doktor,Çocuk Havuzu,Çocuk Parkı
Abant Palace Hotel,Bolu - Abant-Abant Gölü ,"280 km, İstanbul HA ",No Info,Yok,Yok,1,1,1,0,1,1,1,1,0,1,1,1,1
Acapulco Resort Convention Spa Hotel,Kıbrıs - Girne-Çatalköy ,"30 km, Ercan HA ",Denize Sıfır,Özel Plaj,Yok,1,1,1,1,1,1,1,1,1,1,1,1,0
Adalya Art Side Hotel,Antalya - Side-Evrenseki ,"60 km, Antalya HA ",300 - 400 Metre Arası,Mavi Bayraklı Özel Plaj,Yok,5,1,1,1,1,1,1,1,1,1,1,1,1
Adalya Elite Lara,Antalya - Lara-Kundu ,"10 km, Antalya HA ",50 - 100 Metre Arası,Mavi Bayraklı Özel Plaj,Var,5,1,1,2,1,1,1,1,1,1,1,1,1
Adalya Ocean Deluxe,Antalya - Side-Evrenseki ,"65 km, Antalya HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Yok,3,1,1,1,1,1,1,0,1,1,1,1,1
Adam Eve,Antalya - Belek-İskele ,"35 km, Antalya HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Var,7,1,1,5,1,1,1,0,1,1,1,0,0
Adempira Termal Spa Hotel,Denizli - Pamukkale ,"70 km, Çardak ",No Info,Yok,Yok,0,1,1,2,1,1,1,1,0,1,1,1,1
Adenya Hotel Resort,Antalya - Alanya-Türkler ,"65 km, Gazipaşa ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Var,2,1,1,7,2,1,1,1,1,1,1,1,1
Adin Beach Hotel,Antalya - Alanya-İncekum ,"105 km, Antalya HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Var,3,1,2,6,2,1,1,1,1,1,1,1,1
Adonis Hotel,Antalya - Lara ,"15 km, Antalya HA ",Denize Sıfır,Özel Plaj,Var,1,1,1,1,1,1,1,0,1,1,1,1,1
Adrina Termal Health Spa Hotel,Balıkesir - Edremit-Güre ,"18 km, Edremit Koca Seyit HA ",Denize Sıfır,Özel Plaj,Var,0,1,1,1,0,1,1,1,0,1,0,1,1
Akra Hotel,Antalya - Lara ,"15 km, Antalya HA ",Denize Sıfır,Özel Plaj,Var,1,1,1,3,1,1,1,1,0,1,1,1,0
Akrones Thermal Hotel Spa,Afyon - Afyon Merkez ,"50 km, Zafer HA ",Uygun Değil,Yok,Yok,1,0,1,3,6,1,0,1,1,1,1,1,0
Alaiye Resort Spa,Antalya - Alanya-Türkler ,"105 km, Antalya HA ",50 - 100 Metre Arası,Özel Plaj,Yok,3,3,2,4,1,1,0,1,1,1,1,1,1
Alarcha Hotels Resorts,Antalya - Side-Örenşehir ,"100 km, Antalya HA ",Denize Sıfır,Özel Plaj,Yok,2,1,1,1,1,1,1,1,1,1,1,1,0
Aletris Deluxe Hotel Spa,Antalya - Side-Çolaklı ,"45 km, Antalya HA ",600 - 750 Metre Arası,Özel Plaj,Yok,3,1,4,2,1,1,1,1,1,1,1,1,0
Algora Halal Hotel,Antalya - Alanya-Konaklı ,"113 km, Antalya HA ",200 - 300 Metre Arası,Özel Plaj,Yok,0,1,1,3,0,1,1,1,1,1,1,1,1
Almira Hotel Thermal Spa,Bursa - Osmangazi ,"40 km, Yenişehir ",Uygun Değil,Yok,Yok,1,1,2,1,4,1,1,1,0,1,1,1,0
Altın Yunus Hotel Spa  Çeşme,Çeşme - Ilıca-Altınyunus ,"90 km, Adnan Menderes HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Yok,1,4,2,2,1,1,1,1,0,1,1,1,0
Alusso Thermal Hotel Spa Convention Center,Afyon - Afyon Merkez-Kütahya Karayolu ,"40 km, Zafer HA ",No Info,Yok,Yok,1,0,1,3,6,0,1,1,1,1,0,0,0
Anemon Denizli,Denizli - Denizli Merkez ,"65 km, Çardak HA ",Uygun Değil,Yok,Yok,2,0,1,1,0,1,0,0,0,1,1,1,0
Anemon Hotel Adana,Adana - Seyhan ,"3 km, Şakirpaşa HA ",Uygun Değil,Yok,Yok,1,0,1,1,0,1,1,0,0,0,0,0,0
Anemon Hotel Konya,Konya - Selçuklu ,"14 km, Konya HA ",No Info,Yok,Yok,0,0,1,0,0,0,0,0,0,1,0,0,0
Anemon İskenderun,Hatay - İskenderun ,"40 km, Hatay HA ",No Info,Yok,Yok,0,0,1,1,0,0,0,0,0,1,0,0,0
Anemon Malatya,Malatya - Malatya Merkez ,"20 km,  km",Uygun Değil,Yok,Yok,0,0,1,1,1,1,0,0,0,1,0,0,0
Anemon Mardin,Mardin - Kızıltepe ,"200 km, Mardin ",No Info,Halk Plajı,Yok,1,0,0,0,1,1,1,0,0,0,1,1,0
Anemon Samsun,Samsun - Samsun Merkez ,"18 km, Çarşamba ",750 Metre ve Üzeri,Yok,Yok,1,0,1,0,1,1,1,0,0,1,0,0,0
Ankara Alegria Business Otel,Ankara - Yenimahalle ,"25 km, Esenboğa ",Uygun Değil,Yok,Yok,2,2,2,0,1,1,1,1,0,1,1,1,0
Annabella Diamond Hotel Spa,Antalya - Alanya-İncekum ,"60 km, Gazipaşa HA ",Denize Sıfır,Özel Plaj,Yok,1,1,1,1,0,1,0,1,1,1,1,1,1
Aqı Pegasos Royal,Antalya - Alanya-İncekum ,"95 km, Antalya HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Var,3,1,1,1,1,1,0,1,1,1,1,1,1
Aqua Fantasy Aquapark Hotel Spa,Kuşadası - Pamucak ,"65 km, Adnan Menderes HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Var,5,1,1,4,1,1,1,1,1,1,1,1,1
Arkın Palm Beach,Kıbrıs - Magosa-Develimanı ,"45 km, ErcanHA",Denize Sıfır,Özel Plaj,Var,1,1,1,1,1,1,0,1,0,1,1,0,0
Armada Grannos Thermal Hotel Convention Center,Ankara - Haymana ,"118 km, Esenboğa HA ",No Info,Yok,Yok,1,0,1,1,1,0,0,1,1,1,0,1,0
Armonia Holiday Village Spa,Bodrum - Akyarlar ,"54 km, Milas HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Yok,3,1,3,3,0,1,1,1,1,1,1,1,1
Aska Lara Resort Spa,Antalya - Lara-Kundu ,"12 km, Antalya HA ",500 - 600 Metre Arası,Mavi Bayraklı Özel Plaj,Var,5,1,1,4,2,1,1,1,1,1,1,1,1
Aydınbey Famous Resort Hotel,Antalya - Belek-Boğazkent ,"40 km, Antalya HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Yok,1,1,1,2,1,1,1,1,1,1,1,1,1
Aydınbey Gold Dreams Hotel,Antalya - Alanya-Türkler ,"110 km, Antalya HA ",Denize Sıfır (Aradan Yol Geçiyor),Mavi Bayraklı Özel Plaj,Yok,1,1,1,2,1,1,1,1,1,1,1,1,1
Aydınbey King`s Palace Hotel,Antalya - Side-Evrenseki ,"60 km, Antalya HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Yok,2,1,1,3,1,1,1,1,1,1,1,1,1
Aydınbey Queen`s Palace Hotel,Antalya - Belek-Kadriye ,"20 km, Antalya HA ",750 Metre ve Üzeri,Mavi Bayraklı Özel Plaj,Yok,2,1,1,2,1,1,1,0,1,1,1,1,0
Ayvalık Sea Long,Balıkesir - Ayvalık-Sarımsaklı ,"40 km, Edremit Koca Seyit HA ",Denize Sıfır,Özel Plaj,Yok,0,0,0,1,0,0,0,0,0,0,0,1,0
Azka Hotel,Bodrum - Bardakçı ,"37 km, Milas HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Yok,1,1,1,2,1,1,1,1,0,1,1,1,1
Barida Hotels,Isparta - Merkez ,"26 km, Isparta ",Uygun Değil,Yok,Yok,1,0,1,0,1,1,1,1,0,1,1,0,0
Bayır Diamond Hotel Convention Center Konya,Konya - Selçuklu ,"17 km, Konya ",No Info,Yok,Yok,1,0,1,0,1,1,1,0,0,1,1,1,0
Belconti Resort Hotel,Antalya - Belek-İskele ,"30 km, Antalya HA ",Denize Sıfır,Özel Plaj,Yok,3,2,4,2,1,1,1,1,1,1,1,1,1
Benata Hotel,Antalya - Side-Örenşehir ,"80 km, Antalya HA ",Denize Sıfır,Özel Plaj,Yok,4,1,1,1,0,0,0,1,1,1,1,1,1
Bera Hotel Alanya,Antalya - Alanya-Konaklı ,"120 km, Antalya HA ",Denize Sıfır,Özel Plaj,Var,0,1,2,1,1,1,1,1,1,1,1,1,0
Blue Dreams Resort,Bodrum - Torba ,"23 km, Milas ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Var,3,1,1,4,1,1,0,1,1,1,1,1,1
Blue Marlin Deluxe Spa Resort,Antalya - Alanya-Konaklı ,"55 km, Gazipaşa HA ",100 - 200 Metre Arası,Özel Plaj,Var,0,1,1,2,1,1,1,1,1,1,1,1,1
Blue Waters Club,Antalya - Side-Sorgun ,"65 km, Antalya HA ",Denize Sıfır,Mavi Bayraklı Plaj,Var,0,2,1,3,1,1,1,1,1,1,1,1,1
Bn Hotel Thermal Wellness,Mersin - Mersin Merkez ,"60 km, Adana ",No Info,Yok,Yok,1,3,2,9,14,1,1,1,1,1,1,1,1
Bodrum Holiday Resort,Bodrum - İçmeler ,"35 km, Milas HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Var,3,1,1,2,1,0,1,1,1,1,1,1,0
Bof Hotels Uludağ Ski Luxury Resort,Bursa - Uludağ-2. Bölge ,"90 km, Yenişehir HA ",No Info,Yok,Yok,1,1,1,0,1,1,1,1,0,1,1,0,1
Bolu Koru Hotels Spa Convention,Bolu - Abant ,"180 km, Esenboğa HA ",No Info,Yok,Yok,1,0,1,1,1,1,1,0,0,1,0,1,1
Boyalık Beach Hotel Spa Thermal Resort,Çeşme - Boyalık ,"90 km, Adnan Menderes HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Var,0,1,1,2,2,1,1,1,0,1,1,1,1
Burgu Arjaan By Rotana İstanbul Asia,İstanbul - Maltepe ,"25 km, Sabiha Gökçen HA ",Uygun Değil,Yok,Yok,1,1,1,1,1,1,0,0,0,1,0,0,0
Büyük Abant Oteli,Bolu - Abant-Abant Gölü ,"200 km, Esenboğa HA ",Uygun Değil,Yok,Yok,2,2,2,0,2,1,1,1,0,1,1,1,1
Byotell Kozyatağı,İstanbul - Kadıköy ,"20 km, Sabiha Gökçen HA ",Uygun Değil,Yok,Yok,1,1,1,0,1,1,1,0,0,1,0,0,0
Cabir Deluxe Hotel Sapanca,Sakarya - Sapanca ,"90 km, Sabiha Gökçen HA ",No Info,Yok,Yok,1,0,2,0,6,1,1,1,0,1,1,1,1
Cape Bodrum Luxury Hotel Beach,Bodrum - Gündoğan ,"45 km, Milas HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Var,2,1,1,1,1,1,1,0,0,1,1,1,0
Cevahir Hotel İstanbul Asia,İstanbul - Maltepe-Yalı Mah. ,"15 km, Sabiha Gökçen ",100 - 200 Metre Arası,Yok,Yok,1,1,1,1,1,1,1,0,0,0,1,0,0
